,Index,City,Number of Exhibitions,"Total Exhibition Area (10,000 sqm)",Domestic Exhibition Organizers,Number of Overseas Exhibitions,Overseas Exhibition Organizers,Number of Exhibition Halls,"Exhibition Hall Area (10,000 sqm)","Government, Associations, Research Institutions",Number of Exhibition Research Association Members,Number of IAEE Members,Number of UFI Members,UFI Certified Projects,Top 3 Projects,Top 100 Projects,Universities,Higher Education,Public Companies,Number of Online Exhibitions,Aggregated Score
0,1,Beijing,5,26.00,187,0,0,15,71.19,10,185,3,29,26,3,1,7,8,8,7,260.32
1,2,Shanghai,17,103.22,51,0,0,9,97.70,10,68,4,31,26,7,5,8,10,2,0,142.19
2,3,Guangzhou,76,329.73,68,1,1,7,70.68,11,25,1,18,14,25,12,9,22,1,0,131.44
3,4,Shenzhen,39,305.22,46,1,1,8,75.50,3,16,1,18,16,24,13,1,0,2,8,110.37
4,5,Chengdu,36,164.80,33,0,0,7,35.62,8,32,7,11,10,11,7,8,9,0,0,91.14
5,6,Hangzhou,23,132.08,19,18,2,10,31.96,14,26,0,8,5,15,8,5,6,2,2,79.70
6,7,Xiamen,45,114.48,24,0,0,5,20.65,5,6,72,2,1,16,5,2,2,0,0,78.91
7,8,Jinan,56,118.18,64,3,1,6,20.30,5,9,0,11,20,14,1,4,2,0,0,62.35
8,9,Nanjing,96,122.96,34,0,0,7,24.88,4,16,0,6,4,13,0,1,1,0,6,57.48
9,10,Changsha,84,129.02,46,0,0,11,25.50,11,10,0,5,4,11,4,4,3,1,0,57.45
10,11,Chongqing,21,143.49,10,0,0,3,24.90,4,14,3,3,2,9,8,4,4,0,0,53.14
11,12,Wuhan,21,99.88,15,0,0,5,22.04,8,12,0,7,5,8,5,6,2,1,0,47.29
12,13,Qingdao,28,100.10,28,1,1,5,47.00,2,10,2,5,4,9,3,1,2,0,0,45.81
13,14,Xi'an,32,86.65,20,0,0,2,10.80,6,14,1,3,3,5,4,2,4,0,0,41.15
14,15,Shenyang,88,96.07,46,0,0,3,14.16,9,5,0,3,2,5,3,2,2,0,1,39.72
15,16,Zhengzhou,63,110.94,48,0,0,5,7.80,5,2,0,4,2,14,1,5,4,0,0,39.27
16,17,Hefei,18,63.60,20,0,0,2,12.80,5,13,0,3,1,9,1,3,3,0,0,34.14
17,18,Tianjin,16,49.52,12,0,0,3,29.60,5,16,1,0,0,1,2,4,5,1,0,33.71
18,19,Changchun,6,123.20,6,0,0,5,24.50,4,2,0,2,2,4,3,4,1,0,0,27.27
19,20,Ningbo,18,39.37,14,0,0,4,12.10,4,4,0,8,8,6,0,1,1,0,12,25.85
20,21,Nanning,39,59.84,29,0,0,3,11.70,9,4,0,1,1,3,2,1,2,0,0,24.35
21,22,Haikou,18,58.76,10,0,0,3,11.90,6,5,0,2,2,6,1,2,6,0,0,23.57
22,23,Nanchang,25,79.80,10,0,0,3,25.10,5,0,0,2,1,10,1,2,2,0,0,23.29
23,24,Fuzhou,26,55.85,16,0,0,3,14.50,6,4,1,0,0,6,1,3,3,0,0,22.13
24,25,Kunming,12,40.85,5,0,0,1,30.00,3,3,1,2,1,4,3,2,1,1,8,21.79
25,26,Harbin,15,54.48,11,0,0,1,7.00,6,6,0,1,1,4,1,4,3,0,0,21.25
26,27,Guiyang,22,41.31,14,0,0,4,7.58,3,5,0,3,2,2,1,4,1,0,0,20.09
27,28,Urumqi,27,37.22,16,0,0,1,10.00,3,4,1,1,0,5,0,1,2,0,0,17.62
28,29,Hohhot,18,29.30,29,0,0,5,32.70,3,1,0,0,0,4,1,1,3,0,5,17.10
29,30,Taiyuan,6,9.46,7,0,0,5,5.10,5,7,0,0,0,3,0,1,5,0,0,13.56
30,31,Shijiazhuang,10,14.10,9,0,0,3,13.80,6,5,0,0,0,3,0,3,2,0,1,13.49
31,32,Dalian,18,22.48,5,0,0,4,7.90,3,3,1,0,0,1,0,1,1,0,0,10.54
32,33,Lanzhou,5,6.83,5,0,0,1,3.18,5,6,0,0,0,1,0,1,0,0,0,9.40
33,34,Yinchuan,5,16.00,2,0,0,1,3.00,3,2,1,0,0,1,1,0,1,0,0,7.20
34,35,Xining,4,7.02,4,0,0,1,3.93,3,0,0,0,0,0,0,0,0,0,0,2.29
